race_id,race_date,race_number,racecourse,horse_number,time_index,position_1,position_2,position_3,position_4,weather_name,track_condition_name
202635072101,2026-07-21,1,盛岡,8,,3,2,,,曇,良
202635072101,2026-07-21,1,盛岡,3,,1,1,,,曇,良
202635072101,2026-07-21,1,盛岡,6,,2,3,,,曇,良
202635072101,2026-07-21,1,盛岡,4,,4,5,,,曇,良
202635072101,2026-07-21,1,盛岡,1,,5,4,,,曇,良
202635072101,2026-07-21,1,盛岡,7,,7,6,,,曇,良
202635072101,2026-07-21,1,盛岡,5,,6,7,,,曇,良
202635072101,2026-07-21,1,盛岡,2,,8,8,,,曇,良
202635072102,2026-07-21,2,盛岡,2,,1,1,,,曇,良
202635072102,2026-07-21,2,盛岡,1,,6,4,,,曇,良
202635072102,2026-07-21,2,盛岡,6,,4,4,,,曇,良
202635072102,2026-07-21,2,盛岡,7,,3,3,,,曇,良
202635072102,2026-07-21,2,盛岡,5,,5,6,,,曇,良
202635072102,2026-07-21,2,盛岡,8,,2,2,,,曇,良
202635072102,2026-07-21,2,盛岡,9,,7,7,,,曇,良
202635072102,2026-07-21,2,盛岡,3,,8,8,,,曇,良
202635072102,2026-07-21,2,盛岡,4,,,,,,曇,良
202635072103,2026-07-21,3,盛岡,5,,1,1,,,曇,良
202635072103,2026-07-21,3,盛岡,2,,5,2,,,曇,良
202635072103,2026-07-21,3,盛岡,9,,4,3,,,曇,良
202635072103,2026-07-21,3,盛岡,6,,7,8,,,曇,良
202635072103,2026-07-21,3,盛岡,1,,7,5,,,曇,良
202635072103,2026-07-21,3,盛岡,8,,3,6,,,曇,良
202635072103,2026-07-21,3,盛岡,4,,6,7,,,曇,良
202635072103,2026-07-21,3,盛岡,7,,2,4,,,曇,良
202635072103,2026-07-21,3,盛岡,3,,9,9,,,曇,良
202635072104,2026-07-21,4,盛岡,8,,4,4,,,曇,良
202635072104,2026-07-21,4,盛岡,12,,10,9,,,曇,良
202635072104,2026-07-21,4,盛岡,1,,7,7,,,曇,良
202635072104,2026-07-21,4,盛岡,10,,3,2,,,曇,良
202635072104,2026-07-21,4,盛岡,7,,12,12,,,曇,良
202635072104,2026-07-21,4,盛岡,6,,8,8,,,曇,良
202635072104,2026-07-21,4,盛岡,9,,5,5,,,曇,良
202635072104,2026-07-21,4,盛岡,4,,6,6,,,曇,良
202635072104,2026-07-21,4,盛岡,5,,9,11,,,曇,良
202635072104,2026-07-21,4,盛岡,3,,11,10,,,曇,良
202635072104,2026-07-21,4,盛岡,2,,1,3,,,曇,良
202635072104,2026-07-21,4,盛岡,11,,2,1,,,曇,良
202635072105,2026-07-21,5,盛岡,12,,3,3,,,曇,良
202635072105,2026-07-21,5,盛岡,5,,2,2,,,曇,良
202635072105,2026-07-21,5,盛岡,6,,4,4,,,曇,良
202635072105,2026-07-21,5,盛岡,2,,7,5,,,曇,良
202635072105,2026-07-21,5,盛岡,9,,9,9,,,曇,良
202635072105,2026-07-21,5,盛岡,4,,1,1,,,曇,良
202635072105,2026-07-21,5,盛岡,7,,8,7,,,曇,良
202635072105,2026-07-21,5,盛岡,10,,6,6,,,曇,良
202635072105,2026-07-21,5,盛岡,1,,11,8,,,曇,良
202635072105,2026-07-21,5,盛岡,8,,10,12,,,曇,良
202635072105,2026-07-21,5,盛岡,3,,12,11,,,曇,良
202635072105,2026-07-21,5,盛岡,11,,5,10,,,曇,良
202635072106,2026-07-21,6,盛岡,10,,1,1,,,曇,良
202635072106,2026-07-21,6,盛岡,5,,9,8,,,曇,良
202635072106,2026-07-21,6,盛岡,9,,3,3,,,曇,良
202635072106,2026-07-21,6,盛岡,6,,5,5,,,曇,良
202635072106,2026-07-21,6,盛岡,3,,9,10,,,曇,良
202635072106,2026-07-21,6,盛岡,7,,6,7,,,曇,良
202635072106,2026-07-21,6,盛岡,1,,7,6,,,曇,良
202635072106,2026-07-21,6,盛岡,4,,3,3,,,曇,良
202635072106,2026-07-21,6,盛岡,2,,7,8,,,曇,良
202635072106,2026-07-21,6,盛岡,8,,2,2,,,曇,良
202635072107,2026-07-21,7,盛岡,9,,2,2,,,曇,良
202635072107,2026-07-21,7,盛岡,6,,1,1,,,曇,良
202635072107,2026-07-21,7,盛岡,7,,5,3,,,曇,良
202635072107,2026-07-21,7,盛岡,8,,10,10,,,曇,良
202635072107,2026-07-21,7,盛岡,3,,3,4,,,曇,良
202635072107,2026-07-21,7,盛岡,10,,9,9,,,曇,良
202635072107,2026-07-21,7,盛岡,1,,6,6,,,曇,良
202635072107,2026-07-21,7,盛岡,4,,4,5,,,曇,良
202635072107,2026-07-21,7,盛岡,5,,7,8,,,曇,良
202635072107,2026-07-21,7,盛岡,2,,7,7,,,曇,良
202635072108,2026-07-21,8,盛岡,9,,3,3,,,曇,良
202635072108,2026-07-21,8,盛岡,4,,6,4,,,曇,良
202635072108,2026-07-21,8,盛岡,6,,2,2,,,曇,良
202635072108,2026-07-21,8,盛岡,2,,4,4,,,曇,良
202635072108,2026-07-21,8,盛岡,10,,8,7,,,曇,良
202635072108,2026-07-21,8,盛岡,1,,5,6,,,曇,良
202635072108,2026-07-21,8,盛岡,3,,1,1,,,曇,良
202635072108,2026-07-21,8,盛岡,8,,9,10,,,曇,良
202635072108,2026-07-21,8,盛岡,5,,9,9,,,曇,良
202635072108,2026-07-21,8,盛岡,7,,6,8,,,曇,良
202635072109,2026-07-21,9,盛岡,6,,1,1,,,曇,良
202635072109,2026-07-21,9,盛岡,7,,7,6,,,曇,良
202635072109,2026-07-21,9,盛岡,10,,3,3,,,曇,良
202635072109,2026-07-21,9,盛岡,9,,6,5,,,曇,良
202635072109,2026-07-21,9,盛岡,2,,4,4,,,曇,良
202635072109,2026-07-21,9,盛岡,4,,9,8,,,曇,良
202635072109,2026-07-21,9,盛岡,5,,4,7,,,曇,良
202635072109,2026-07-21,9,盛岡,8,,8,9,,,曇,良
202635072109,2026-07-21,9,盛岡,1,,10,10,,,曇,良
202635072109,2026-07-21,9,盛岡,3,,1,2,,,曇,良
202635072110,2026-07-21,10,盛岡,7,,2,1,,,曇,良
202635072110,2026-07-21,10,盛岡,6,,2,2,,,曇,良
202635072110,2026-07-21,10,盛岡,5,,6,5,,,曇,良
202635072110,2026-07-21,10,盛岡,3,,8,7,,,曇,良
202635072110,2026-07-21,10,盛岡,8,,1,3,,,曇,良
202635072110,2026-07-21,10,盛岡,9,,4,7,,,曇,良
202635072110,2026-07-21,10,盛岡,1,,7,6,,,曇,良
202635072110,2026-07-21,10,盛岡,2,,5,4,,,曇,良
202635072110,2026-07-21,10,盛岡,4,,9,9,,,曇,良
202635072111,2026-07-21,11,盛岡,9,,4,4,,,曇,良
